Course Name,Instractor,Duration,Number of sections
ÅÊŞÇä áÛÉ Python ÈÇááÛÉ ÇáÚÑÈíÉ,ÃÓÇãÉ ãÍãÏ,20:24:59,152
ÏæÑÉ ÇáÈÇíËæä ãä ÇáÕİÑ,ÃÍãÏ ÚÒ,12:00:47,96
ÃÓÇÓíÇÊ ÇáÈÑãÌÉ ÈáÛÉ ÇáÈÇíËæä,ãÍãÏ ÚíÓì,24:24:05,174
Python Security,ÚÈÏ Çááå ÇáÓßÑí,12:12:28,27
ÇáÈÑãÌÉ ÈáÛÉ Python,ÍÓíä ÇáÑÈíÚí,06:30:15,53
Python Network Packet Sniffer,thenewboston,00:53:51,7
Python Website Scanner,thenewboston,00:44:31,7
Python Reverse Shell,thenewboston,01:52:52,15
Python Django Web,ãÍãÏ ÚíÓì,19:19:04,160
ÈÑãÌÉ ÇáÔÈßÇÊ ÈáÛÉ ÈÇíËæä,ãÍãÏ ÚíÓì,14:18:16,105
ÊØæíÑ ÊØÈíŞÇÊ ÓØÍ ÇáãßÊÈ ÈáÛÉ ÇáÜ Python ãÚ QT,EgyCoder,05:40:35,42
ÃÓÇÓíÇÊ ÇáÈÇíËæä 3,EgyCoder,03:35:35,34
MySQL and Python,ÍãæÏ ÚÒíÒ,01:50:01,14
Python 102,ÍãæÏ ÚÒíÒ,01:26:21,19
ÃÓÇÓíÇÊ ÇáÈÇíËæä,ÍãæÏ ÚÒíÒ,03:54:26,38
Python 3.4 Programming,thenewboston,05:20:29,47
ãŞÏãÉ İí ÇáÈÇíËæä 3,ÍÓÇã ãÌÏí ÈáÍå,01:37:20,7
